Row0: ['核心模块 DOCX', '用户痛点与核心诉求（User Pain Points）', '核心功能升级需求（Feature Requests）', '研发/算法落地技术细则（Technical R&D）']
Row1: ['ClassReady (课前预习端)：\n\n路由与任务流系统', '一次性发放整篇课文的所有预习材料，容易导致学生在自学状态下信息过载、认知负荷过重，从而降低了预习的针对性。', '时间轴阶梯式预习路由机制（Micro-steps Router）。将单课任务拆解为精细化的日度微任务，支持分步通关解锁。', '后台构建基于时序和通关状态的状态机（FSM）： \n\n• T+1天（生词召回）：仅开放词汇卡片，引导学生重复3-4次，利用“点击反转”进行无提示记忆检索。 \n\n• T+2天（结构造句）：词汇通关后解锁造句模块，结合包含特定多城市坐标（如：北京、上海、西安）情境语义的逻辑问题，引导学生脱离翻译工具纯靠记忆进行拼写造句。 \n\n• T+3天（听力专项）：解锁高强度听力强化训练。']
Row2: ['ClassReady / ClassPro：\n\n内置查询工具（新增加）', '学生在交互界面遇到高难生词时，必须被迫中断当前应用，频繁切换跳转至外部工具（如 Google Translate 或其他 AI 工具）查询释义、拼音和写法，严重破坏习得流（Flow）。', '文本嵌入式动态悬浮字典工具箱（In-App Popover Dictionary）。实现应用内免跳转的“意/音/形”一体化即时检索。', '前端文本渲染引擎集成手势长按/双击监听事件： \n\n• 触发后向本地/云端汉字字符数据库发送异步请求，即时在当前界面渲染一层轻量级悬浮窗（Popover UI）。 \n\n• 悬浮窗内嵌标准 HSK 级配拼音、多语种英文释义，以及基于 SVG 矢量的动态汉字笔顺书写动图（Stroke Order Animation），免除切换跳出。']
Row3: ['ClassReady (课前预习端)：\n\n多档听力控制（新增加）', '在自学高难听力音频或面对较快语速时，学生无法适应，被迫耗费极高的时间成本去盲目重播、回听整段长语音，缺乏精细的听力控制手段。', '无损变调音频流调节器与分段循环点播系统（Audio Tempo Controller）。提供精细化的波形控制以降低听觉认知过载。', '引入流媒体音频控制组件： \n\n• 开发支持 0.5x, 0.75x, 1.0x, 1.25x 的多档无损变调变速播放算法（Pitch-invariant Time-stretching），确保慢速下音频不失真、不变调。 \n\n• 界面内渲染音频可视化波形图（Waveform Profile），允许学生通过拖拽或系统算法锚点，进行特定卡壳句段的“分段局部循环聆听（Segmented Looping）”。']
Row4: ['ClassPro (课堂互动端)：\n\n动态游戏交互', '课堂互动和游戏化路线如果呈现固定的 Routine（如每天使用一成不变的连线匹配机制），长期使用会导致学生失去新鲜感，产生心理倦怠。', '非线性可预测动态游戏矩阵库（Dynamic Game Pool）。引入高变性、非预测性的课堂游戏机制，保持动态兴奋感。', '搭建后台游戏矩阵组件库（Game Matrix Pool），设置周一、周二、周三投放的交互组件在UI形态、积分机制、时间限制及对抗模式上相互独立。确保每天的游戏化玩法“不可预测”，提高学生的课堂行为投入度。']
Row5: ['ClassPro (课堂互动端)：\n\n硬核造句脚手架（新增加）', '在面对“给定3个或5个完全不同的随机生词，要求串联组合成一个富有逻辑的完整长句子”这一硬核挑战时，学生极易卡壳或产生挫败感。', '多冲突词汇串联的“语法骨架提示机制”（Grammar Skeleton Hints）。提供动态的自适应认知撑架（Scaffolding）。', '在 ClassPro 的主观造句/写作交互界面中，增设智能脚手架（Scaffolding）策略开关： \n\n• 当学生端检测到长时间未输入或点击提示时，算法根据当前的词汇属性，动态匹配并高亮呈现 1-2 种可容纳该多词组合的基础语法关联词骨架（如：虽然……但是……；不但……而且……）。 \n\n• 帮助学生跨越二语习得输出假说（Output Hypothesis）中的语法连接盲区。']
Row6: ['ClassPro (课堂互动端)：\n\n书写交互组件', '数字化工具交互导致汉字手写练习断裂。学生在非传统环境（如户外、通勤中）学习时，极其不便携带和铺开物理纸笔进行汉字书写。', '内置屏幕触控手写板功能（Canvas Handwriting UI）。在移动交互中实现无物理载体限制的汉字摹写与手写练习。', '在词汇强化与造句反馈模块的前端内嵌轻量级 HTML5 Canvas 触控手写板组件。支持学生直接用手指在移动端屏幕上进行汉字笔画轨迹书写，摆脱对物理书写材料的绝对依赖。']
Row7: ['AI 智能核心模块：\n\n语音交互与诊断代理', '系统内置的合成语音具有过于明显的“计算机机械电音感”，与现实生活中面对中国真人时的语流、语速及自然停顿存在巨大脱节；传统的 workbook 音频 tempo 无法训练真实交际能力。', '任务驱动型 AI 口语伴侣与多维声学诊断系统（AI Partner Engine）。引入高度自然流利的真实二语对话场景与多维反馈机制。', '接入大语言模型与高拟真流式语音对话代理（AI Agent）： \n\n• 情境模拟器：支持学生自主选择特定生存场景（如：中餐厅点餐、向中国人问路）进行开放式模拟对话。 \n\n• 声学诊断反馈：AI 结合基频（F0）时序分割和 VAD 静音检测算法，在对话后自动精准定位声调偏误（Tones）、不自然停顿位置（Pauses）并输出三维声学优化建议。']
Row8: ['数据智能模块：\n\n量化报告中心', '系统缺乏长周期的数据沉淀与可视化分析入口，学生无法清晰掌控自身长期学习轨迹，频繁人工问询老师会降低整体教学能效。', '多维个人进度与排位报表自动生成系统（Automated Analytics Reports）。向师生双端提供高频、透明的量化复盘入口。', '构建多维时序数据聚合管道，后台自动追踪、聚合学生的答题正确率、排位赛名次波动、响应耗时等参数。在前端提供独立的报告下载模块，支持一键导出个人“周报”与“月报”，涵盖排位走势图、月度词汇遗忘曲线及高频错题特征归因。']
Row9: ['教学引擎模块：\n\n智能算法复习调度', '学生的个体记忆周期有限且遗忘速度快，旧单元词汇缺乏长效、有机的动态系统性复习与滚动巩固机制。', '基于错题特征过滤的间隔重复复习调度软件。实现全班/个人高频弱点的隐性二次包装回流。', '设计“教学周期特征过滤器（Feature Filter）”，算法每隔 5 个连续单元自动运行一次。检索全班或个人在前 5 单元中正确率最低、耗时最长的题目特征（如：特定长状语造句崩溃）。提取特征后进行算法层的UI样式二次包装与洗牌，无痕投放到当前周期的游戏矩阵中，实现智能间隔重复（Spaced Repetition）。']
Row10: ['系统生态扩展：\n\n多端同步与平台重塑', '纯网页端（Web）架构在移动端易受浏览器锁屏、网络波动断连、刷新掉线等干扰；每次课堂前置同步接入流程繁琐、效率低。', '原生移动 APP 迁移与课堂二维码动态多终端对齐同步系统（QR Synch System）。提升移动端系统稳定性并精简课堂同步时间。', '全面将系统向移动端原生 APP（Native App）架构迁移。教师端在实体教室大屏幕投射带有当前课时（如 Lesson 10）加密授权密钥的动态二维码；学生通过 APP 内置扫码组件一键扫描，基于 WebSocket 协议建立多路复用长连接，毫秒级直达当前课时的全双工同步交互界面。']
